858.4,748.72,301.73,359.43,21.634,4.4643,17.265
829.46,750.7,307.31,78.746,42.412,5.9264,13.741
807.3,752.02,305.1,369.91,16.82,7.0961,15.067
760.68,739.35,304.3,105.47,13.913,6.3004,15.397
731.98,736.19,307.91,60.991,8.9896,7.7878,15.863
711.64,754.37,305.55,39.73,36.988,8.323,11.415
754.63,750.13,303.2,68.915,32.654,13.277,19.512
752.74,739.83,301.84,44.381,14.822,5.9786,10.214
746.46,768.75,304.18,173.11,70.7,13.394,12.506
802.16,749.95,295.35,129.2,24.427,10.73,11.939
782.03,741.5,301.07,121.83,24.405,14.365,16.054
768.14,759.38,308.78,51.42,52.234,8.8916,7.5425
775.44,739.74,302.9,36.365,83.512,10.368,10.95
756.48,752.73,308.05,59.419,12.528,10.087,6.5873
768.73,750.97,304.6,189.15,69.434,6.8892,15.019
758.12,738.13,307.55,26.722,19.677,4.8724,16.761
749.82,754.55,307.38,14.128,11.104,8.8159,12.368
798.23,738.47,299.96,30.436,6.8263,6.0007,13.731
793.84,748.76,301.62,176.53,35.388,19.646,15.271
819.31,764.62,302.76,90.351,36.453,6.1732,13.022
825.2,745,299.72,133.91,17.341,5.3906,16.079
801.16,748.51,305.52,219.63,33.196,3.7704,10.883
806.67,746.99,305.25,101.05,62.096,12.608,14.056
770.79,743.47,306,28.483,16.559,6.1966,14.855
773.63,750.93,307.58,173.44,38.01,3.0382,10.294
794.32,734.89,300,47.17,26.327,8.7129,14.853
795.2,757.27,306.48,95.242,36.349,7.986,25.54
841.48,741.76,302.18,68.257,18.74,11.222,21.425
838.69,739.69,298.23,53.03,22.531,8.1877,14.468
824.28,759.62,304.67,130.44,15.687,4.9939,22.682
787.64,734.69,304.69,90.642,15.359,14.767,26.987
752.89,730.93,304.87,106.6,25.307,8.0134,13.704
745.16,738.76,305.62,65.725,15.014,13.092,15.487
759.83,764.15,305.35,46.393,14.147,10.647,17.272
806.52,741.21,300.66,89.27,11.315,4.3066,12.797
811.98,739.3,304.58,182.06,12.438,11,10.083
824.53,755.4,306.84,53.628,15.271,12.172,18.166
819.85,736.13,300.67,21.374,9.5641,7.7141,16.526
812.34,750.21,305.9,27.004,13.952,7.6174,13.072
815.65,736.59,305.12,31.646,10.875,8.7907,12.11
785.08,738.85,303.29,103.26,23.18,11.621,10.774
814.93,749.56,306.46,106.71,22.891,7.0545,10.128
785.84,725.21,301.68,143.55,19.551,10.878,21.95
776.61,748.95,308.64,169.84,13.841,7.4678,14.015
807.14,729.28,302.07,191.22,25.251,10.928,12.15
766.02,758.87,303.37,174.11,106.19,15.627,18.427
776.7,804,305.62,76.274,65.722,26.055,31.975
778.44,772.61,298.79,160.72,87.013,18.042,26.514
767.76,753.69,302.19,293.8,51.215,14.738,15.199
